Date,Site,Kpar
2015-10-01,PL14_s2,NA
2015-10-01,PL16_s2,NA
2015-11-01,BP01_s2,0.3654252290725708
2015-11-01,BP02_s2,0.37301594018936157
2015-11-01,BP03_s2,0.339243620634079
2015-11-01,BP05_s2,0.444621205329895
2015-11-01,BP06_s2,0.3302348852157593
2015-11-01,BP08_s2,0.343802273273468
2015-11-01,BP10_s2,0.35333141684532166
2015-11-01,BP13_s2,0.37917470932006836
2015-11-01,BP14_s2,0.32616934180259705
2015-11-01,LH01_s2,0.5274421572685242
2015-11-01,LH02_s2,NA
2015-11-01,LH07_s2,0.5167632102966309
2015-11-01,LH10_s2,0.5274421572685242
2015-11-01,PB02_s2,NA
2015-11-01,PB03_s2,NA
2015-11-01,PB10_s2,NA
2015-11-01,PB11_s2,NA
2015-11-01,PL02_s2,NA
2015-11-01,PL03_s2,NA
2015-11-01,PL14_s2,NA
2015-11-01,PL16_s2,NA
2015-12-01,BP01_s2,0.349259614944458
2015-12-01,BP02_s2,0.35345566272735596
2015-12-01,BP03_s2,0.31022292375564575
2015-12-01,BP05_s2,0.2563502788543701
2015-12-01,BP06_s2,0.27489763498306274
2015-12-01,BP08_s2,0.27138835191726685
2015-12-01,BP10_s2,0.3306760787963867
2015-12-01,BP13_s2,0.5820214748382568
2015-12-01,BP14_s2,0.3240680694580078
2015-12-01,LH01_s2,0.4418852627277374
2015-12-01,LH02_s2,0.47589626908302307
2015-12-01,LH07_s2,NA
2015-12-01,LH10_s2,0.360847532749176
2015-12-01,PB02_s2,NA
2015-12-01,PB03_s2,NA
2015-12-01,PB10_s2,NA
2015-12-01,PB11_s2,NA
2015-12-01,PL02_s2,NA
2015-12-01,PL03_s2,NA
2015-12-01,PL14_s2,NA
2015-12-01,PL16_s2,0.4038202464580536
2016-01-01,BP01_s2,0.31759127974510193
2016-01-01,BP02_s2,0.2714565396308899
2016-01-01,BP03_s2,0.2981316149234772
2016-01-01,BP05_s2,0.28233975172042847
2016-01-01,BP06_s2,0.29598432779312134
2016-01-01,BP08_s2,0.2964194118976593
2016-01-01,BP10_s2,0.36718419194221497
2016-01-01,BP13_s2,0.2884785234928131
2016-01-01,BP14_s2,NA
2016-01-01,LH01_s2,NA
2016-01-01,LH02_s2,NA
2016-01-01,LH07_s2,NA
2016-01-01,LH10_s2,NA
2016-01-01,PB02_s2,NA
2016-01-01,PB03_s2,NA
2016-01-01,PB10_s2,NA
2016-01-01,PB11_s2,NA
2016-01-01,PL02_s2,0.26989999413490295
2016-01-01,PL03_s2,NA
2016-01-01,PL14_s2,NA
2016-01-01,PL16_s2,NA
2016-02-01,BP01_s2,0.30007344484329224
2016-02-01,BP02_s2,0.25837793946266174
2016-02-01,BP03_s2,0.28944429755210876
2016-02-01,BP05_s2,0.2632370591163635
2016-02-01,BP06_s2,0.2876380681991577
2016-02-01,BP08_s2,0.23996569216251373
2016-02-01,BP10_s2,0.35506731271743774
2016-02-01,BP13_s2,0.3562200367450714
2016-02-01,BP14_s2,0.3767954707145691
