Date,Site,SST
2017-01-01,PL02_s2,NA
2017-01-01,PL03_s2,NA
2017-01-01,PL14_s2,NA
2017-01-01,PL16_s2,NA
2017-02-01,BP01_s2,18.114999771118164
2017-02-01,BP02_s2,18.844999313354492
2017-02-01,BP03_s2,17.25
2017-02-01,BP05_s2,NA
2017-02-01,BP06_s2,17.209999084472656
2017-02-01,BP08_s2,17.3799991607666
2017-02-01,BP10_s2,17.264999389648438
2017-02-01,BP13_s2,17.404998779296875
2017-02-01,BP14_s2,NA
2017-02-01,LH01_s2,19.274999618530273
2017-02-01,LH02_s2,21.19999885559082
2017-02-01,LH07_s2,NA
2017-02-01,LH10_s2,20.28499984741211
2017-02-01,PB02_s2,NA
2017-02-01,PB03_s2,NA
2017-02-01,PB10_s2,NA
2017-02-01,PB11_s2,NA
2017-02-01,PL02_s2,NA
2017-02-01,PL03_s2,NA
2017-02-01,PL14_s2,NA
2017-02-01,PL16_s2,NA
2017-03-01,BP01_s2,18.69499969482422
2017-03-01,BP02_s2,20.94499969482422
2017-03-01,BP03_s2,18.059999465942383
2017-03-01,BP05_s2,18.454999923706055
2017-03-01,BP06_s2,18.654998779296875
2017-03-01,BP08_s2,18.43000030517578
2017-03-01,BP10_s2,18.57499885559082
2017-03-01,BP13_s2,19.135000228881836
2017-03-01,BP14_s2,17.274999618530273
2017-03-01,LH01_s2,19.475000381469727
2017-03-01,LH02_s2,20.21500015258789
2017-03-01,LH07_s2,19.604999542236328
2017-03-01,LH10_s2,20.084999084472656
2017-03-01,PB02_s2,NA
2017-03-01,PB03_s2,NA
2017-03-01,PB10_s2,NA
2017-03-01,PB11_s2,NA
2017-03-01,PL02_s2,22.625
2017-03-01,PL03_s2,NA
2017-03-01,PL14_s2,NA
2017-03-01,PL16_s2,19.264999389648438
2017-04-01,BP01_s2,18.59000015258789
2017-04-01,BP02_s2,19.704999923706055
2017-04-01,BP03_s2,18.2549991607666
2017-04-01,BP05_s2,19.21500015258789
2017-04-01,BP06_s2,18.619998931884766
2017-04-01,BP08_s2,17.904998779296875
2017-04-01,BP10_s2,17.885000228881836
2017-04-01,BP13_s2,18.635000228881836
2017-04-01,BP14_s2,17.10999870300293
2017-04-01,LH01_s2,20.5049991607666
2017-04-01,LH02_s2,22.76999855041504
2017-04-01,LH07_s2,20.389999389648438
2017-04-01,LH10_s2,21.059999465942383
2017-04-01,PB02_s2,NA
2017-04-01,PB03_s2,NA
2017-04-01,PB10_s2,NA
2017-04-01,PB11_s2,NA
2017-04-01,PL02_s2,21.719999313354492
2017-04-01,PL03_s2,NA
2017-04-01,PL14_s2,NA
2017-04-01,PL16_s2,20.19499969482422
2017-05-01,BP01_s2,15.164999961853027
2017-05-01,BP02_s2,15.494999885559082
2017-05-01,BP03_s2,15.149999618530273
2017-05-01,BP05_s2,15.719999313354492
2017-05-01,BP06_s2,15.630000114440918
2017-05-01,BP08_s2,14.585000038146973
2017-05-01,BP10_s2,14.299999237060547
2017-05-01,BP13_s2,14.964999198913574
2017-05-01,BP14_s2,14.295000076293945
2017-05-01,LH01_s2,16.06999969482422
2017-05-01,LH02_s2,16.06999969482422
2017-05-01,LH07_s2,15.899999618530273
2017-05-01,LH10_s2,15.824999809265137
2017-05-01,PB02_s2,NA
2017-05-01,PB03_s2,NA
2017-05-01,PB10_s2,NA
2017-05-01,PB11_s2,NA
2017-05-01,PL02_s2,15.9399995803833
2017-05-01,PL03_s2,NA
2017-05-01,PL14_s2,NA
2017-05-01,PL16_s2,16.094999313354492
2017-06-01,BP01_s2,13.119999885559082
2017-06-01,BP02_s2,NA
2017-06-01,BP03_s2,NA
2017-06-01,BP05_s2,12.934999465942383
2017-06-01,BP06_s2,12.809999465942383
2017-06-01,BP08_s2,12.97499942779541
2017-06-01,BP10_s2,NA
2017-06-01,BP13_s2,13.34000015258789
2017-06-01,BP14_s2,NA
2017-06-01,LH01_s2,10.869999885559082
2017-06-01,LH02_s2,10.579999923706055
2017-06-01,LH07_s2,NA
2017-06-01,LH10_s2,11.469999313354492
2017-06-01,PB02_s2,NA
2017-06-01,PB03_s2,NA
2017-06-01,PB10_s2,NA
2017-06-01,PB11_s2,NA
2017-06-01,PL02_s2,NA
2017-06-01,PL03_s2,NA
2017-06-01,PL14_s2,NA
2017-06-01,PL16_s2,NA
2017-07-01,BP01_s2,NA
2017-07-01,BP02_s2,NA
2017-07-01,BP03_s2,NA
2017-07-01,BP05_s2,NA
2017-07-01,BP06_s2,NA
2017-07-01,BP08_s2,11.489999771118164
2017-07-01,BP10_s2,11.460000038146973
2017-07-01,BP13_s2,NA
2017-07-01,BP14_s2,NA
2017-07-01,LH01_s2,NA
2017-07-01,LH02_s2,NA
2017-07-01,LH07_s2,NA
2017-07-01,LH10_s2,NA
2017-07-01,PB02_s2,NA
2017-07-01,PB03_s2,NA
2017-07-01,PB10_s2,NA
2017-07-01,PB11_s2,NA
2017-07-01,PL02_s2,NA
2017-07-01,PL03_s2,NA
2017-07-01,PL14_s2,NA
2017-07-01,PL16_s2,NA
2017-08-01,BP01_s2,NA
2017-08-01,BP02_s2,NA
2017-08-01,BP03_s2,NA
2017-08-01,BP05_s2,NA
2017-08-01,BP06_s2,NA
2017-08-01,BP08_s2,9.6899995803833
2017-08-01,BP10_s2,NA
2017-08-01,BP13_s2,NA
2017-08-01,BP14_s2,NA
2017-08-01,LH01_s2,NA
2017-08-01,LH02_s2,7.835000038146973
2017-08-01,LH07_s2,8.079999923706055
2017-08-01,LH10_s2,7.984999656677246
2017-08-01,PB02_s2,NA
2017-08-01,PB03_s2,NA
2017-08-01,PB10_s2,NA
2017-08-01,PB11_s2,NA
2017-08-01,PL02_s2,NA
2017-08-01,PL03_s2,NA
2017-08-01,PL14_s2,NA
2017-08-01,PL16_s2,NA
2017-09-01,BP01_s2,NA
2017-09-01,BP02_s2,NA
2017-09-01,BP03_s2,9.875
2017-09-01,BP05_s2,NA
2017-09-01,BP06_s2,9.760000228881836
2017-09-01,BP08_s2,9.739999771118164
2017-09-01,BP10_s2,9.920000076293945
2017-09-01,BP13_s2,9.184999465942383
2017-09-01,BP14_s2,10.050000190734863
2017-09-01,LH01_s2,9.699999809265137
2017-09-01,LH02_s2,9.760000228881836
2017-09-01,LH07_s2,10.47499942779541
2017-09-01,LH10_s2,9.795000076293945
2017-09-01,PB02_s2,NA
2017-09-01,PB03_s2,NA
2017-09-01,PB10_s2,NA
2017-09-01,PB11_s2,NA
2017-09-01,PL02_s2,NA
2017-09-01,PL03_s2,NA
2017-09-01,PL14_s2,NA
2017-09-01,PL16_s2,10.344999313354492
2017-10-01,BP01_s2,9.800000190734863
2017-10-01,BP02_s2,10.944999694824219
2017-10-01,BP03_s2,10.585000038146973
2017-10-01,BP05_s2,NA
2017-10-01,BP06_s2,10.635000228881836
2017-10-01,BP08_s2,10.734999656677246
2017-10-01,BP10_s2,11.050000190734863
2017-10-01,BP13_s2,9.734999656677246
2017-10-01,BP14_s2,9.869999885559082
2017-10-01,LH01_s2,8.75
2017-10-01,LH02_s2,8.444999694824219
2017-10-01,LH07_s2,9.394999504089355
2017-10-01,LH10_s2,8.679999351501465
2017-10-01,PB02_s2,NA
2017-10-01,PB03_s2,NA
2017-10-01,PB10_s2,NA
2017-10-01,PB11_s2,NA
2017-10-01,PL02_s2,NA
2017-10-01,PL03_s2,NA
2017-10-01,PL14_s2,NA
2017-10-01,PL16_s2,NA
2017-11-01,BP01_s2,13.774999618530273
